_______                    _____________________ 
__  __ \______________________  /___    |__  __ \
_  / / /__  __ \  _ \_  __ \_  / __  /| |_  /_/ /
/ /_/ /__  /_/ /  __/  / / /  /___  ___ |  ____/ 
\____/ _  .___/\___//_/ /_//_____/_/  |_/_/      
       /_/                                       
=================================================
Vehicle: FB23
Track:   MIS Endurance 2023
Date:    05/10/2023
Time:    15:05:20
=================================================
Simulation started.
Maximum speed calculated at all points.
Found all apexes on track.
Starting acceleration and deceleration.
Running: [||||||||||||||||||||||||||||||] 100 [%]
________________________________________________
|_Apex__|_Point_|_Mode__|___x___|___v___|_vmax_|
      1	    954	      1	  953.0	   6.25	   7.41
      1	    955	      1	  954.0	   7.03	   8.92
      1	    956	      1	  955.0	   7.82	  15.20
      1	    957	      1	  956.0	   8.69	  14.40
      1	    958	      1	  957.0	   9.45	  13.14
      1	    959	      1	  958.0	   9.63	   9.63
      1	    960	      1	  959.0	   9.63	  10.55
      1	    961	      1	  960.0	  10.03	  11.55
      1	    962	      1	  961.0	  10.49	  14.62
      1	    963	      1	  962.0	  11.08	  15.39
      1	    964	      1	  963.0	  11.63	  14.63
      1	    965	      1	  964.0	  12.10	  31.83
      1	    966	      1	  965.0	  12.70	  31.83
      1	    967	      1	  966.0	  13.29	  26.87
      1	    968	      1	  967.0	  13.82	  14.18
      1	    969	      1	  968.0	  13.96	  18.09
      1	    970	      1	  969.0	  14.36	  31.83
      1	    971	      1	  970.0	  14.87	  23.13
      1	    972	      1	  971.0	  15.31	  16.32
      1	    973	      1	  972.0	  15.41	  15.41
      1	    974	      1	  973.0	  15.34	  15.34
      1	    952	      2	  951.0	   6.25	   6.76
      1	    951	      2	  950.0	   7.29	  12.49
      1	    950	      2	  949.0	   8.87	   9.32
      1	    949	      2	  948.0	   9.52	  14.07
      1	    948	      2	  947.0	  10.05	  10.05
      1	    947	      2	  946.0	  10.15	  13.43
      1	    946	      2	  945.0	  10.41	  10.41
      1	    945	      2	  944.0	  10.51	  14.30
      1	    944	      2	  943.0	  11.58	  14.21
      1	    943	      2	  942.0	  12.47	  13.73
      1	    942	      2	  941.0	  13.12	  14.18
      1	    941	      2	  940.0	  13.70	  22.21
      1	    940	      2	  939.0	  14.66	  31.83
      1	    939	      2	  938.0	  15.66	  31.83
      1	    938	      2	  937.0	  16.60	  18.32
      1	    937	      2	  936.0	  17.14	  19.68
      1	    936	      2	  935.0	  17.74	  20.65
      1	    935	      2	  934.0	  18.35	  19.68
      1	    934	      2	  933.0	  18.80	  21.30
      1	    933	      2	  932.0	  19.35	  26.91
      1	    932	      2	  931.0	  20.07	  31.83
      1	    931	      2	  930.0	  20.88	  31.83
      1	    930	      2	  929.0	  21.71	  31.83
      2	   1703	      1	 1702.0	   7.19	   7.75
      2	   1704	      1	 1703.0	   7.69	   8.86
      2	   1705	      1	 1704.0	   8.29	  14.39
      2	   1706	      1	 1705.0	   9.10	  14.80
      2	   1707	      1	 1706.0	   9.83	  15.34
      2	   1708	      1	 1707.0	  10.49	  14.79
      2	   1709	      1	 1708.0	  11.08	  15.19
      2	   1710	      1	 1709.0	  11.63	  15.85
      2	   1711	      1	 1710.0	  12.14	  19.58
      2	   1712	      1	 1711.0	  12.69	  29.26
      2	   1713	      1	 1712.0	  13.26	  31.83
      2	   1714	      1	 1713.0	  13.81	  31.83
      2	   1715	      1	 1714.0	  14.34	  31.83
      2	   1716	      1	 1715.0	  14.86	  31.83
      2	   1717	      1	 1716.0	  15.34	  21.05
      2	   1718	      1	 1717.0	  15.73	  20.72
      2	   1719	      1	 1718.0	  16.09	  20.72
      2	   1720	      1	 1719.0	  16.44	  20.75
      2	   1721	      1	 1720.0	  16.77	  21.10
      2	   1722	      1	 1721.0	  17.09	  22.79
      2	   1723	      1	 1722.0	  17.42	  23.16
      2	   1724	      1	 1723.0	  17.75	  23.27
      2	   1725	      1	 1724.0	  18.07	  23.00
      2	   1726	      1	 1725.0	  18.37	  22.75
      2	   1727	      1	 1726.0	  18.65	  24.04
      2	   1728	      1	 1727.0	  18.94	  26.41
      2	   1729	      1	 1728.0	  19.26	  29.88
      2	   1730	      1	 1729.0	  19.59	  31.83
      2	   1731	      1	 1730.0	  19.95	  31.83
      2	   1732	      1	 1731.0	  20.31	  31.83
      2	   1733	      1	 1732.0	  20.64	  31.83
      2	   1734	      1	 1733.0	  20.96	  27.23
      2	   1735	      1	 1734.0	  21.21	  25.31
      2	   1736	      1	 1735.0	  21.43	  23.66
      2	   1737	      1	 1736.0	  21.59	  22.15
      2	   1738	      1	 1737.0	  21.66	  22.17
      2	   1739	      1	 1738.0	  21.72	  26.10
      2	   1740	      1	 1739.0	  21.94	  28.61
      2	   1741	      1	 1740.0	  22.18	  24.90
      2	   1742	      1	 1741.0	  22.35	  23.10
      2	   1743	      1	 1742.0	  22.43	  25.68
      2	   1744	      1	 1743.0	  22.61	  30.79
      2	   1745	      1	 1744.0	  22.86	  31.83
      2	   1746	      1	 1745.0	  23.11	  31.83
      2	   1747	      1	 1746.0	  23.34	  31.83
      2	   1748	      1	 1747.0	  23.58	  31.83
      2	   1749	      1	 1748.0	  23.80	  31.83
      2	   1750	      1	 1749.0	  24.02	  31.83
      2	   1751	      1	 1750.0	  24.23	  31.83
      2	   1752	      1	 1751.0	  24.44	  31.83
      2	   1753	      1	 1752.0	  24.64	  31.83
      2	   1754	      1	 1753.0	  24.84	  31.83
      2	   1755	      1	 1754.0	  25.04	  29.73
      2	   1756	      1	 1755.0	  25.21	  26.63
      2	   1757	      1	 1756.0	  25.30	  25.55
