Format,OpenLAP Export
Venue,MIS Endurance 2023
Vehicle,FB24
Driver,OpenLap
Device
Comment
Date,05/10/2023
Time,15:16:51
Frequency,50





distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear,fuel_cons,energy_spent_fuel,energy_spent_mech
distance,time,speed_max,elevation,speed,yaw_rate,long_acc,lat_acc,sum_acc,throttle,brake_pres,brake_force,steering,delta,beta,Fz_aero,Fx_aero,Fx_eng,Fx_roll,Fz_mass,Fz_total,wheel_torque,engine_torque,engine_power,engine_speed,gear,fuel_cons,energy_spent_fuel,energy_spent_mech
m,s,m/s,m,m/s,rad/s,m/s/s,m/s/s,m/s/s,ratio,Pa,N,deg,deg,deg,N,N,N,N,N,N,N.m,N.m,W,rpm,,kg,J,J


5.818457,0.280000,31.826965,0.000000,24.947651,0.351445,4.756920,8.769244,9.980688,1.000000,0.000000,0.000000,3.169388,0.905539,1.215855,-1048.339600,-574.108948,1919.375122,-3.814760,-2766.419922,-3814.759521,389.633148,47.950722,53109.187500,10576.740234,4.000000,0.000899,42440.953125,14854.333008
6.320522,0.300000,31.826965,0.000000,25.043489,0.360688,4.710973,9.032865,10.187651,1.000000,0.000000,0.000000,3.231107,0.923174,1.252407,-1056.413330,-578.530334,1910.847412,-3.822833,-2766.419922,-3822.833496,387.902039,47.737679,53076.042969,10617.372070,4.000000,0.000963,45472.582031,15915.404297
6.823960,0.320000,31.826965,0.000000,25.138649,0.360291,4.665033,9.057209,10.188087,1.000000,0.000000,0.000000,3.205179,0.915765,1.255782,-1064.452393,-582.932861,1902.302979,-3.830872,-2766.419922,-3830.872559,386.167511,47.524220,53039.582031,10657.716797,4.000000,0.001028,48502.714844,16975.951172
7.329792,0.340000,31.826965,0.000000,25.232615,0.372241,4.619598,9.394101,10.471290,1.000000,0.000000,0.000000,3.287805,0.939373,1.302492,-1072.428467,-587.300903,1893.866455,-3.838849,-2766.419922,-3838.848633,384.454895,47.313450,53001.468750,10697.552734,4.000000,0.001092,51529.984375,18035.496094
7.836911,0.360000,31.826965,0.000000,25.325932,0.390830,4.574435,9.899048,10.906533,1.000000,0.000000,0.000000,3.428800,0.979657,1.372503,-1080.370605,-591.650208,1885.487549,-3.846791,-2766.419922,-3846.790527,382.753967,47.104126,52962.472656,10737.115234,4.000000,0.001156,54555.718750,19094.501953
8.346461,0.380000,30.572203,0.000000,25.418030,0.463128,4.119300,11.779566,12.546581,0.937971,0.000000,0.000000,4.030890,1.151683,1.633237,-1088.246826,-595.963501,1761.460693,-3.854667,-2766.419922,-3854.666992,357.576538,44.036491,49643.328125,10767.997070,4.000000,0.001212,57211.457031,20024.009766
8.857164,0.400000,28.722609,0.000000,25.509548,0.560887,3.469815,14.312181,14.757774,0.846538,0.000000,0.000000,4.851564,1.386161,1.984384,-1096.091797,-600.259766,1582.610352,-3.862512,-2766.419922,-3862.511963,321.269867,39.613861,44769.207031,10794.762695,4.000000,0.001265,59691.800781,20892.130859
9.369718,0.420000,28.160034,0.000000,25.582634,0.590751,3.215940,15.113163,15.451981,0.677475,0.000000,0.000000,5.085002,1.452858,2.095440,-1102.381348,-603.704163,1263.421753,-3.868801,-2766.419922,-3868.801514,256.474609,32.178890,35825.019531,10550.445312,4.000000,0.001299,61328.148438,21464.851562
9.882990,0.440000,28.097183,0.000000,25.648563,0.594252,3.115673,15.241787,15.557171,0.478270,0.000000,0.000000,5.090428,1.454408,2.113274,-1108.066895,-606.817810,889.741943,-3.874487,-2766.419922,-3874.486816,180.617615,23.574272,25300.482422,10200.871094,5.000000,0.001327,62636.792969,21922.876953
10.398118,0.460000,29.573452,0.000000,25.711460,0.513007,3.603941,13.184228,13.734468,0.658647,0.000000,0.000000,4.378467,1.250990,1.827993,-1113.510986,-609.799133,1221.298828,-3.879931,-2766.419922,-3879.930908,247.923660,32.884827,34861.847656,10123.322266,5.000000,0.001383,65270.820312,22844.785156
